,frequency,percentage
css,3206,4.6652442425250935e-06
gnr,4268,6.210624587366531e-06
pst,4466,6.498746346574257e-06
fz,2571,3.741217388500317e-06
nkk,3045,4.430963418118812e-06
ltd,4569,6.6486278677782765e-06
kw,5219,7.5944821278036386e-06
bm,5183,7.542096353402234e-06
bnr,3878,5.643112031351314e-06
scr,23276,3.3870313471308196e-05
ls,3473,5.0537720693355115e-06
ddr,3012,4.382943124917524e-06
rj,3578,5.206563911339609e-06
tm,4631,6.738847812580695e-06
fhf,3034,4.4149566537183825e-06
sb,3888,5.6576636353517046e-06
dx,3352,4.87769766093079e-06
twh,2384,3.4691023936930204e-06
mgp,4202,6.114584000963957e-06
rsm,2502,3.640811320897625e-06
gsm,3896,5.669304918552017e-06
fkh,2741,3.98859465650695e-06
nbf,3056,4.446970182519241e-06
mtp,2308,3.358510203290055e-06
svt,2709,3.9420295237057014e-06
rbh,2339,3.4036201756912648e-06
spd,3155,4.5910310621231035e-06
dp,4587,6.674820754978978e-06
dnt,3231,4.701623252526069e-06
bf,6073,8.83718910943696e-06
ck,2537,3.6917419348989904e-06
xt,3250,4.72927130012681e-06
vp,2527,3.6771903308986003e-06
pgs,2440,3.5505913760952057e-06
bp,3091,4.4979007965206064e-06
hhv,3940,5.733331976153734e-06
rr,4852,7.060438260989319e-06
rhf,2349,3.418171779691655e-06
bs,4755,6.919287702185534e-06
llh,2564,3.7310312657000437e-06
kk,4301,6.258644880567819e-06
gp,3823,5.563078209349168e-06
kbp,2135,3.1067674540833048e-06
xl,2627,3.8227063709025025e-06
ncc,2421,3.522943328494464e-06
gh,17464,2.5412921226281422e-05
nbs,2473,3.5986116692964933e-06
lvl,2162,3.1460567848843585e-06
wl,3102,4.513907560921036e-06
hb,4818,7.010962807387992e-06
pcb,2879,4.189406791712335e-06
hl,4303,6.261555201367898e-06
stl,2272,3.3061244288886503e-06
nj,7669,1.1159625107899233e-05
jc,2227,3.2406422108868947e-06
fhl,2227,3.2406422108868947e-06
jp,4609,6.706834283779837e-06
hs,3230,4.70016809212603e-06
ctr,2340,3.4050753360913035e-06
nhl,3168,4.6099481473236114e-06
hc,2433,3.5404052532949325e-06
xx,2484,3.6146184336969225e-06
gk,2168,3.1547877472845925e-06
cp,5212,7.5842960050033654e-06
mt,4083,5.941419913359313e-06
vhf,2284,3.3235863536891187e-06
mf,2785,4.052621714108667e-06
ht,2851,4.148662300511243e-06
cf,3461,5.0363101445350435e-06
rpm,2004,2.9161414416781932e-06
dm,4339,6.313940975769302e-06
kf,4529,6.590421451776715e-06
bc,2179,3.1707945116850217e-06
sg,2759,4.014787543707652e-06
tns,1877,2.7313360708732382e-06
lv,2602,3.7863273609015266e-06
gn,24613,3.5815862926160366e-05
ppt,2080,3.0267336320811587e-06
kd,3366,4.898069906531337e-06
fps,2527,3.6771903308986003e-06
zp,2096,3.050016198481783e-06
lb,2016,2.9336033664786616e-06
gw,4348,6.327037419369653e-06
vt,2636,3.835802814502853e-06
nsf,2253,3.2784763812879093e-06
mcd,5376,7.822942310609764e-06
dlf,1986,2.889948554477491e-06
df,3046,4.432418578518851e-06
mx,1855,2.6993225420723798e-06
ltt,2311,3.362875684490172e-06
gf,2597,3.7790515589013313e-06
mw,2600,3.7834170401014488e-06
ld,2783,4.049711393308589e-06
htt,246697,0.0003589837052084258
kfl,2671,3.8867334285042185e-06
bkk,1988,2.892858875277569e-06
vmw,1828,2.660033211271326e-06
mbp,2814,4.094821365709799e-06
dts,2263,3.2930279852882994e-06
tf,2611,3.7994238045018776e-06
knb,2426,3.5302191304946594e-06
hsh,1832,2.665853852871482e-06
qt,2960,4.307274784115495e-06
nfk,1958,2.8492040632763985e-06
nk,4831,7.0298798925884996e-06
mmm,4266,6.207714266566454e-06
wd,1701,2.4752278404663706e-06
gc,2725,3.965312090106326e-06
vhs,2006,2.9190517624782715e-06
jh,3610,5.253129044140858e-06
kp,2539,3.6946522556990682e-06
fp,4504,6.55404244177574e-06
xm,2756,4.010422062507536e-06
rst,2276,3.3119450704888064e-06
rp,2137,3.109677774883383e-06
rn,2969,4.320371227715846e-06
xtz,1564,2.275870865661025e-06
klp,1675,2.437393670065356e-06
gg,1883,2.740067033273472e-06
llc,1489,2.166733835658099e-06
fks,1539,2.2394918556600497e-06
bmx,2001,2.9117759604780762e-06
wp,2345,3.4123511380914988e-06
jb,2405,3.4996607620938397e-06
cdc,1667,2.4257523868650443e-06
ccd,2413,3.511302045294152e-06
rx,2218,3.2275457672865433e-06
hsd,1874,2.726970589673121e-06
vgt,1493,2.172554477258255e-06
gsk,1803,2.6236542012703506e-06
